depth,element,height,parentNode,text,width,x,xpath,y,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.href,attributes.rel,attributes.class,attributes.aria-label,attributes.fill,attributes.height,attributes.stroke,attributes.stroke-width,attributes.viewBox,attributes.width,attributes.id,attributes.type,attributes.value,attributes.autocapitalize,attributes.autocomplete,attributes.spellcheck,attributes.role,attributes.style,attributes.tabindex,attributes.seo-pixel,attributes.data-hveid,attributes.data-merchant-id,attributes.data-offer-id,attributes.data-slot,attributes.data-ved,attributes.alt,attributes.data-deferred,attributes.data-iml,attributes.src,price,attributes.aria-expanded,attributes.xmlns,attributes.aria-hidden,attributes.data-agch,attributes.data-al,attributes.data-pcu,attributes.aria-level,attributes.data-dtld,attributes.focusable
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Shop for Motor Oil in Oils and Fluids. Buy products such as Valvoline 4-Stroke ... Mobil 1 Advanced Fuel Economy Full Synthetic Motor Oil 0W-20, 1 Quart.",652.0,164.0,//*[@id='main']/div[5]/div/div[2],-2459.0,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,98.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Motor oil, engine oil, or engine lubricant is any one of various substances used for the lubrication of internal combustion engines.Category:Motor oils · Base oil · Synthetic oil · SAE J300",652.0,164.0,//*[@id='main']/div[8]/div/div[2],-1443.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,Results 1 - 24 of 3000+ · Looking for Motor Oils? Amazon.com has a wide selection at great prices to meet any vehicle need.,652.0,164.0,//*[@id='main']/div[9]/div/div[2],-1289.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,Mobil 1™ is an advanced full synthetic motor oil product line that delivers engine performance and protection. Learn more. Mobil Super™ motor oils. Mobil Super™ ...,652.0,164.0,//*[@id='main']/div[11]/div/div[2],-1026.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,Shop for Motor Oil at AMSOIL. Find the full line of premium AMSOIL products and buy online for delivery to your home.,652.0,164.0,//*[@id='main']/div[12]/div/div[2],-902.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Historically, motor oil was just a mixture of base oil and additives used to lubricate engine parts, reduce friction, clean, cool, and protect the engine.",652.0,164.0,//*[@id='main']/div[13]/div/div[2],-778.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Pennzoil offers motor oils, filters, fluids and more. From passenger vehicles to high performance cars, Pennzoil provides the protection you need.",652.0,164.0,//*[@id='main']/div[14]/div/div[2],-654.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,98.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Results 1 - 24 of 341 · Engine oil creates a separating film that lubricates moving parts to reduce friction, helping your car run more efficiently. Friction turns ...Valvoline Advanced Motor Oil... · Motor Oil and Transmission Fluid · Mobil 1 (48)",652.0,164.0,//*[@id='main']/div[15]/div/div[2],-504.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIV,68.0,DIV.ZINbbc.luh4tb.xpd.O9g5cc.uUPGi,"Today's advanced engine technology requires advanced protection. Valvoline Advanced Full Synthetic, the motor oil designed to protect today's sophisticated ...",652.0,164.0,//*[@id='main']/div[17]/div/div[2],-13.140625,,,,,,,kCrYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DIV,45.0,DIV.ZINbbc.luh4tb.O9g5cc.uUPGi,Discover The Right Lubricants For Every Application. Make The Switch To Castrol®. Browse The Range Of Castrol ® Motor Oil Products Before Your Next Oil Change.,652.0,164.0,//*[@id='main']/div[18]/div/div/div[2],122.859375,,,,,,,w1C3Le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
